"","Entity","Year","Code","nuclear_weapons_stockpile","military1","const_expenditure","curr_expenditure","GDPShare","govtShare","Miliary_exp_mil"
"178","Russia",2000,"RUS",12188,8199996,23583.9693874372,9228.20414373676,0.0330702983667541,0.10819631406783,45614.0820718684
"179","Russia",2001,"RUS",11152,8199996,25487.2126825104,11683.1513447726,0.0354631922908818,0.113025343308096,46841.5556723863
"180","Russia",2002,"RUS",10114,1109800,28234.5351229298,13943.8250634002,0.0375627739108018,0.111384897329319,12520.9125317001
"181","Russia",2003,"RUS",9076,1261125,29604.9565746126,16973.7390851036,0.0367083808960104,0.112922569839353,14792.4945425518
"182","Russia",2004,"RUS",8038,1530612,30943.5417761998,20955.4135706279,0.0330035364660483,0.111703811360247,18130.7667853139
"183","Russia",2005,"RUS",7000,2976720,35164.5396626549,27336.9772736915,0.0333010319224077,0.113363178995535,28552.0886368458
"184","Russia",2006,"RUS",6643,2817460,38921.808858267,34517.781618918,0.0324525437911028,0.112065367056276,31346.190809459
"185","Russia",2007,"RUS",6286,3825200,42366.4429425577,43534.9949962472,0.0311854207894397,0.0978733898031898,40893.4974981236
"186","Russia",2008,"RUS",5929,4782220,46551.1937839122,56183.7853932539,0.0314948601738606,0.0986315841595838,52002.992696627
"187","Russia",2009,"RUS",5527,4782220,48841.027502853,51532.1167975199,0.0392406339875413,0.101920224003286,49677.1583987599
"188","Russia",2010,"RUS",5215,4695300,49833.8967888213,58720.2276087579,0.0358508572056051,0.101222956275016,52836.613804379
"189","Russia",2011,"RUS",4858,4695300,53184.6087457342,70237.5239514946,0.0343304383760131,0.103214635718714,58595.2619757473
"190","Russia",2012,"RUS",4750,7576200,61622.4158976064,81469.3999312577,0.0368924043459907,0.108415558713595,78615.6999656288
"191","Russia",2013,"RUS",4650,8285520,64625.5073174611,88352.8964635598,0.0385404258314373,0.111221783289798,85604.0482317799
"192","Russia",2014,"RUS",4600,8206830,69260.6834365382,84696.5046534978,0.0411299297822323,0.117721980267326,83382.4023267489
"193","Russia",2015,"RUS",4500,6433130,74649.0443188243,66421.8221799206,0.0487151474680202,0.138107112237532,65376.5610899603
"194","Russia",2016,"RUS",4490,6732000,80026.9313153743,69245.2945528466,0.0542514770504505,0.148283950033968,68282.6472764233
"195","Russia",2017,"RUS",4300,6732000,64847.5276032746,66913.0335367831,0.0424899605173948,0.12199182172143,67116.5167683916
"196","Russia",2018,"RUS",4350,6732000,62404.2213437496,61609.2047564171,0.0369251875943369,0.114031604909062,64464.6023782085
"197","Russia",2019,"RUS",4330,6732000,65201.3358483565,65201.3358483565,0.0383211568128629,0.113989991642989,66260.6679241782
"198","Russia",2020,"RUS",4310,6732000,66838.1819264515,61712.5371689371,0.0426344983553312,0.114318383818012,64516.2685844686
"199","South Africa",1988,"ZAF",5,301787,5498.28031689234,4263.08682322617,0.0462375902257971,0.0550455349730396,3640.47841161308
"200","South Africa",1989,"ZAF",6,358684,5423.14252644415,4181.88646727775,0.0435788474069836,0.0550455349730396,3884.36323363887
"201","South Africa",1990,"ZAF",0,392125,4884.13989600792,4364.45820385573,0.0389635147817926,0.0550455349730396,4142.85410192786
"202","South Africa",1991,"ZAF",0,388472,4012.08423492204,3874.41513479061,0.0322263389360805,0.0550455349730396,3879.5675673953
"203","South Africa",1992,"ZAF",0,410686,3453.92120277841,3677.40646070666,0.0281765061454765,0.0550455349730396,3892.13323035333
"204","South Africa",1993,"ZAF",0,366009,3191.91297480524,3254.31337866538,0.0249552369800039,0.0550455349730396,3457.20168933269
"205","South Africa",1994,"ZAF",0,340491,3403.22738682806,3478.58229131463,0.0256196590060566,0.0550455349730396,3441.74614565732
"206","South Africa",1995,"ZAF",0,288448,3027.52863928335,3292.44656184434,0.0211786404667743,0.0550455349730396,3088.46328092217
"207","South Africa",1996,"ZAF",0,288448,2631.44666269438,2591.78713061277,0.0175587879819291,0.0550455349730396,2738.13356530638
"208","South Africa",1997,"ZAF",0,288448,2419.0356638318,2414.13770952873,0.0158213355671958,0.0550455349730396,2649.30885476436
"209","South Africa",1998,"ZAF",0,288448,2143.42050209015,1905.65600874051,0.0138316672312245,0.0550455349730396,2395.06800437026
"210","South Africa",1999,"ZAF",0,288448,2053.98232595374,1738.03662504829,0.0127205293062738,0.0550455349730396,2311.25831252414
"211","South Africa",2000,"ZAF",0,288448,2410.74557150416,1891.72501343693,0.0138728913141799,0.0550455349730396,2388.10250671846
"212","South Africa",2001,"ZAF",0,187000,2695.5134084065,1802.262236357,0.0148316101798605,0.0588311126951748,1836.1311181785
"213","South Africa",2002,"ZAF",0,175370,2953.58272375252,1766.08289772027,0.0152930955872386,0.0615901631750989,1759.89144886013
"214","South Africa",2003,"ZAF",0,265344,2923.55354131845,2574.17627813213,0.014688112381823,0.05776435654725,2613.80813906606
"215","South Africa",2004,"ZAF",0,315240,3026.47063044317,3099.06512541623,0.0135572857797827,0.0533514200661463,3125.73256270812
"216","South Africa",2005,"ZAF",0,353100,3359.97811886063,3566.96381537049,0.0138376969035915,0.0491166643930979,3548.98190768524
"217","South Africa",2006,"ZAF",0,440570,3406.271614589,3506.13965783314,0.0129074698271175,0.0467786711957111,3955.91982891657
"218","South Africa",2007,"ZAF",0,336282,3356.41322370331,3525.68424369479,0.0117751725288717,0.0433312167576969,3444.2521218474
"219","South Africa",2008,"ZAF",0,303620,3332.87600751414,3285.92508128339,0.0114584331442431,0.0399644753675762,3161.0625406417
"220","South Africa",2009,"ZAF",0,303620,3484.59301447843,3592.68770202285,0.0121400204252781,0.0382854020418378,3314.44385101143
"221","South Africa",2010,"ZAF",0,434800,3372.64024103679,4188.16809220321,0.0111580825092212,0.0354825569890656,4268.08404610161
"222","South Africa",2011,"ZAF",0,434800,3493.91202081337,4594.15407794655,0.0110325767555138,0.0357308113747345,4471.07703897327
"223","South Africa",2012,"ZAF",0,454350,3651.54875088408,4489.59009594432,0.011327931119157,0.036113582298374,4516.54504797216
"224","South Africa",2013,"ZAF",0,390350,3723.94577470694,4118.20848342734,0.0112327426203249,0.0355514098409905,4010.85424171367
